id,value
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n], <class 'list'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#affects_policy_compliance, <class 'bool'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#categoryid, <class 'int'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#categoryname, <class 'str'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#cia_impact, <class 'str'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#count, <class 'int'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#cweid, <class 'int'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#date_first_occurrence, <class 'datetime.date'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#description, <class 'str'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#exploitLevel, <class 'int'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#functionprototype, <class 'str'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#functionrelativelocation, <class 'int'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#grace_period_expires, <class 'datetime.date'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#issueid, <class 'int'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#line, <class 'int'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#mitigation_status, <class 'str'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#mitigation_status_desc, <class 'str'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#module, <class 'str'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#note, <class 'str'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#pcirelated, <class 'bool'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#remediation_status, <class 'str'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#remediationeffort, <class 'int'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#scope, <class 'str'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#severity, <class 'int'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#sourcefile, <class 'str'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#sourcefilepath, <class 'str'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#type, <class 'str'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#desc, <class 'veracode.SDK.core.Struct'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#desc#para, <class 'veracode.SDK.core.Struct'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#desc#para#text, <class 'str'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#pcirelated, <class 'bool'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#recommendations, <class 'veracode.SDK.core.Struct'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#recommendations#para, <class 'veracode.SDK.core.Struct'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#recommendations#para#bulletitem [0⋯n], <class 'list'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#recommendations#para#bulletitem [0⋯n]#text, <class 'str'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#recommendations#para#text, <class 'str'>
Application#builds [0⋯n]#report#severity [0⋯n]#level, <class 'int'>
Application#builds [0⋯n]#report#software_composition_analysis, <class 'veracode.SDK.core.Struct'>
Application#builds [0⋯n]#report#software_composition_analysis#blacklisted_components, <class 'int'>
Application#builds [0⋯n]#report#software_composition_analysis#components_violated_policy, <class 'int'>
Application#builds [0⋯n]#report#software_composition_analysis#third_party_components, <class 'int'>
Application#builds [0⋯n]#report#software_composition_analysis#violate_policy, <class 'bool'>
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components, <class 'veracode.SDK.core.Struct'>
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components#component [0⋯n], <class 'list'>
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components#component [0⋯n]#added_date, <class 'datetime.date'>
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components#component [0⋯n]#component_affects_policy_compliance, <class 'bool'>
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components#component [0⋯n]#component_id, <class 'str'>
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components#component [0⋯n]#description, <class 'str'>
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components#component [0⋯n]#file_name, <class 'str'>
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components#component [0⋯n]#file_paths, <class 'veracode.SDK.core.Struct'>
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components#component [0⋯n]#file_paths#file_path [0⋯n], <class 'list'>
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components#component [0⋯n]#file_paths#file_path [0⋯n]#value, <class 'str'>
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components#component [0⋯n]#library, <class 'str'>
